Universidad;Ámbito de estudio ISCED 1999;Total
Católica de Valencia San Vicente Mártir;223 - Lenguas y dialectos españoles;..
Católica de Valencia San Vicente Mártir;225 - Historia y arqueología;..
Católica de Valencia San Vicente Mártir;226 - Filosofia y ética;..
Católica de Valencia San Vicente Mártir;Total Ciencias sociales, educación comercial y derecho;700
Católica de Valencia San Vicente Mártir;311 - Psicología;238
Católica de Valencia San Vicente Mártir;312 - Sociología, antropología y geografía social y cultural;50
Católica de Valencia San Vicente Mártir;313 - Ciencias políticas;..
Católica de Valencia San Vicente Mártir;314 - Economía;..
Católica de Valencia San Vicente Mártir;321 - Periodismo;..
Católica de Valencia San Vicente Mártir;322 - Biblioteconomía, documentación y archivos;..
Católica de Valencia San Vicente Mártir;342 - Marketing y publicidad;..
Católica de Valencia San Vicente Mártir;343 - Finanzas, banca y seguros;..
Católica de Valencia San Vicente Mártir;345 - Administración y gestión de empresas;412
Católica de Valencia San Vicente Mártir;380 - Derecho;..
Católica de Valencia San Vicente Mártir;Total Ciencias;135
Católica de Valencia San Vicente Mártir;421 - Biología y Bioquímica;..
Católica de Valencia San Vicente Mártir;422 - Ciencias del medio ambiente;..
Católica de Valencia San Vicente Mártir;442 - Química;..
Católica de Valencia San Vicente Mártir;443 - Geología y meteorología;135
Católica de Valencia San Vicente Mártir;462 - Estadística;..
Católica de Valencia San Vicente Mártir;480 - Informática;..
Católica de Valencia San Vicente Mártir;481 - Ciencias de la computación;..
Católica de Valencia San Vicente Mártir;Total Ingeniería, industria y construcción;..
Católica de Valencia San Vicente Mártir;520 - Ingeniería y profesiones afines;..
Católica de Valencia San Vicente Mártir;521 - Mecánica y metalurgia;..
Católica de Valencia San Vicente Mártir;522 - Electricidad y energía;..
Católica de Valencia San Vicente Mártir;523 - Electrónica y automática;..
Católica de Valencia San Vicente Mártir;524 - Procesos químicos;..
Católica de Valencia San Vicente Mártir;541 - Industria de la alimentación;..
Católica de Valencia San Vicente Mártir;581 - Arquitectura y urbanismo;..
Católica de Valencia San Vicente Mártir;582 - Construcción e ingeniería civil;..
Católica de Valencia San Vicente Mártir;Total Agricultura y veterinaria;..
Católica de Valencia San Vicente Mártir;621 - Producción agrícola y explotación ganadera;..
Católica de Valencia San Vicente Mártir;623 - Silvicultura;..
Católica de Valencia San Vicente Mártir;641 - Veterinaria;..
Católica de Valencia San Vicente Mártir;Total Salud y servicios sociales;1.611
Católica de Valencia San Vicente Mártir;721 - Medicina;310
Católica de Valencia San Vicente Mártir;723 - Enfermería y atención a enfermos;1.002
Católica de Valencia San Vicente Mártir;724 - Estudios dentales;..
Católica de Valencia San Vicente Mártir;725 - Tecnología de diagnóstico y tratamiento médico;..
Católica de Valencia San Vicente Mártir;726 - Terapia y rehabilitación;299
Católica de Valencia San Vicente Mártir;727 - Farmacia;..
Católica de Valencia San Vicente Mártir;762 - Trabajo social y orientación;..
Católica de Valencia San Vicente Mártir;Total Servicios;1.024
Católica de Valencia San Vicente Mártir;812 - Viajes, turismo y ocio;..
Católica de Valencia San Vicente Mártir;813 - Deportes;1.024
Católica San Antonio de Murcia;Total Ámbito;4.948
Católica San Antonio de Murcia;Total Educación;..
Católica San Antonio de Murcia;142 - Ciencias de la educación;..
Católica San Antonio de Murcia;143 - Formación de docentes de enseñanza infantil;..
Católica San Antonio de Murcia;144 - Formación de docentes de enseñanza primaria;..
Católica San Antonio de Murcia;145 - Formación de docentes de enseñanza de temas especiales;..
Católica San Antonio de Murcia;146 - Formación de docentes de formación profesional;..
Católica San Antonio de Murcia;Total Artes y humanidades;163
Católica San Antonio de Murcia;211 - Bellas artes;..
Católica San Antonio de Murcia;212 - Música y artes del espectáculo;..
Católica San Antonio de Murcia;213 - Técnicas audiovisuales y medios de comunicación;163
Católica San Antonio de Murcia;214 - Diseño;..
