Nivel y Ciclo;Nacionalidad (regiones);Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;Resto de África;Total Universidades;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;Resto de África;Total Universidades;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;Resto de África;Total Universidades;Centros adscritos;Hombres;.
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades públicas;Total Centros;Ambos Sexos;1.022
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades públicas;Total Centros;Mujeres;471
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades públicas;Total Centros;Hombres;551
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades públicas;Centros propios;Ambos Sexos;990
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades públicas;Centros propios;Mujeres;445
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades públicas;Centros propios;Hombres;545
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades públicas;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades públicas;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades públicas;Centros adscritos;Hombres;.
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades privadas;Total Centros;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades privadas;Total Centros;Mujeres;..
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades privadas;Total Centros;Hombres;..
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades privadas;Centros propios;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades privadas;Centros propios;Mujeres;..
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades privadas;Centros propios;Hombres;..
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades privadas;Centros adscritos;Ambos Sexos;.
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades privadas;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades privadas;Centros adscritos;Hombres;.
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Total Universidades;Total Centros;Ambos Sexos;1.506
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Total Universidades;Total Centros;Mujeres;807
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Total Universidades;Total Centros;Hombres;699
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Total Universidades;Centros propios;Ambos Sexos;1.453
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Total Universidades;Centros propios;Mujeres;765
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Total Universidades;Centros propios;Hombres;688
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Total Universidades;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Total Universidades;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Total Universidades;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades públicas;Total Centros;Ambos Sexos;1.414
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades públicas;Total Centros;Mujeres;760
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades públicas;Total Centros;Hombres;654
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades públicas;Centros propios;Ambos Sexos;1.361
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades públicas;Centros propios;Mujeres;718
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades públicas;Centros propios;Hombres;643
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades públicas;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades públicas;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades públicas;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades privadas;Total Centros;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades privadas;Total Centros;Mujeres;..
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades privadas;Total Centros;Hombres;..
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades privadas;Centros propios;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades privadas;Centros propios;Mujeres;..
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades privadas;Centros propios;Hombres;..
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades privadas;Centros adscritos;Ambos Sexos;.
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades privadas;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades privadas;Centros adscritos;Hombres;.
Matrícula de Grado;TOTAL;Total Universidades;Total Centros;Ambos Sexos;19.118
Matrícula de Grado;TOTAL;Total Universidades;Total Centros;Mujeres;10.235
Matrícula de Grado;TOTAL;Total Universidades;Total Centros;Hombres;8.883
Matrícula de Grado;TOTAL;Total Universidades;Centros propios;Ambos Sexos;18.906
Matrícula de Grado;TOTAL;Total Universidades;Centros propios;Mujeres;10.069
Matrícula de Grado;TOTAL;Total Universidades;Centros propios;Hombres;8.837
Matrícula de Grado;TOTAL;Total Universidades;Centros adscritos;Ambos Sexos;212
Matrícula de Grado;TOTAL;Total Universidades;Centros adscritos;Mujeres;166
Matrícula de Grado;TOTAL;Total Universidades;Centros adscritos;Hombres;..
Matrícula de Grado;TOTAL;Universidades públicas;Total Centros;Ambos Sexos;9.538
Matrícula de Grado;TOTAL;Universidades públicas;Total Centros;Mujeres;5.189
Matrícula de Grado;TOTAL;Universidades públicas;Total Centros;Hombres;4.349
