Nivel y Ciclo;Rama de la enseñanza;Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;Ciencias;Total Universidades;Centros adscritos;Ambos Sexos;.
Total Grado y 1º y 2º Ciclo;Ciencias;Total Universidades;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;Ciencias;Total Universidades;Centros adscritos;Hombres;.
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades públicas;Total Centros;Ambos Sexos;83.155
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades públicas;Total Centros;Mujeres;44.773
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades públicas;Total Centros;Hombres;38.382
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades públicas;Centros propios;Ambos Sexos;83.155
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades públicas;Centros propios;Mujeres;44.773
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades públicas;Centros propios;Hombres;38.382
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades públicas;Centros adscritos;Ambos Sexos;.
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades públicas;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades públicas;Centros adscritos;Hombres;.
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades privadas;Total Centros;Ambos Sexos;2.481
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades privadas;Total Centros;Mujeres;1.507
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades privadas;Total Centros;Hombres;974
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades privadas;Centros propios;Ambos Sexos;2.481
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades privadas;Centros propios;Mujeres;1.507
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades privadas;Centros propios;Hombres;974
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades privadas;Centros adscritos;Ambos Sexos;.
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades privadas;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades privadas;Centros adscritos;Hombres;.
Matrícula de Grado;Total Ramas;Total Universidades;Total Centros;Ambos Sexos;810.076
Matrícula de Grado;Total Ramas;Total Universidades;Total Centros;Mujeres;448.622
Matrícula de Grado;Total Ramas;Total Universidades;Total Centros;Hombres;361.454
Matrícula de Grado;Total Ramas;Total Universidades;Centros propios;Ambos Sexos;768.414
Matrícula de Grado;Total Ramas;Total Universidades;Centros propios;Mujeres;423.700
Matrícula de Grado;Total Ramas;Total Universidades;Centros propios;Hombres;344.714
Matrícula de Grado;Total Ramas;Total Universidades;Centros adscritos;Ambos Sexos;41.662
Matrícula de Grado;Total Ramas;Total Universidades;Centros adscritos;Mujeres;24.922
Matrícula de Grado;Total Ramas;Total Universidades;Centros adscritos;Hombres;16.740
Matrícula de Grado;Total Ramas;Universidades públicas;Total Centros;Ambos Sexos;696.122
Matrícula de Grado;Total Ramas;Universidades públicas;Total Centros;Mujeres;385.437
