Comunidades Autónomas;Nacionalidad (regiones);Sexo;Total
Navarra (Comunidad Foral de);Unión Europea (27);Ambos Sexos;147
Navarra (Comunidad Foral de);Unión Europea (27);Mujeres;..
Navarra (Comunidad Foral de);Unión Europea (27);Hombres;..
Navarra (Comunidad Foral de);Resto de Europa;Ambos Sexos;..
Navarra (Comunidad Foral de);Resto de Europa;Mujeres;..
Navarra (Comunidad Foral de);Resto de Europa;Hombres;..
Navarra (Comunidad Foral de);EE.UU. y Canadá;Ambos Sexos;..
Navarra (Comunidad Foral de);EE.UU. y Canadá;Mujeres;.
Navarra (Comunidad Foral de);EE.UU. y Canadá;Hombres;.
Navarra (Comunidad Foral de);América Latina y Caribe;Ambos Sexos;367
Navarra (Comunidad Foral de);América Latina y Caribe;Mujeres;176
Navarra (Comunidad Foral de);América Latina y Caribe;Hombres;191
Navarra (Comunidad Foral de);Norte de África;Ambos Sexos;..
Navarra (Comunidad Foral de);Norte de África;Mujeres;.
Navarra (Comunidad Foral de);Norte de África;Hombres;.
Navarra (Comunidad Foral de);Resto de África;Ambos Sexos;.
Navarra (Comunidad Foral de);Resto de África;Mujeres;.
Navarra (Comunidad Foral de);Resto de África;Hombres;.
Navarra (Comunidad Foral de);Asia y Oceanía;Ambos Sexos;..
Navarra (Comunidad Foral de);Asia y Oceanía;Mujeres;..
Navarra (Comunidad Foral de);Asia y Oceanía;Hombres;.
País Vasco;TOTAL;Ambos Sexos;51.867
País Vasco;TOTAL;Mujeres;27.544
País Vasco;TOTAL;Hombres;24.323
País Vasco;España;Ambos Sexos;50.992
País Vasco;España;Mujeres;27.077
País Vasco;España;Hombres;23.915
País Vasco;Unión Europea (27);Ambos Sexos;285
País Vasco;Unión Europea (27);Mujeres;164
País Vasco;Unión Europea (27);Hombres;121
País Vasco;Resto de Europa;Ambos Sexos;..
País Vasco;Resto de Europa;Mujeres;..
País Vasco;Resto de Europa;Hombres;..
País Vasco;EE.UU. y Canadá;Ambos Sexos;.
País Vasco;EE.UU. y Canadá;Mujeres;.
País Vasco;EE.UU. y Canadá;Hombres;.
País Vasco;América Latina y Caribe;Ambos Sexos;333
País Vasco;América Latina y Caribe;Mujeres;194
