Nivel y Ciclo;Grupo de edad;Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades privadas;Total Centros;Ambos Sexos;34.346
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades privadas;Total Centros;Mujeres;16.624
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades privadas;Total Centros;Hombres;17.722
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades privadas;Centros propios;Ambos Sexos;34.346
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades privadas;Centros propios;Mujeres;16.624
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades privadas;Centros propios;Hombres;17.722
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades privadas;Centros adscritos;Ambos Sexos;.
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades privadas;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades privadas;Centros adscritos;Hombres;.
Matrícula de Grado;Todas las edades;Total Universidades;Total Centros;Ambos Sexos;19.118
Matrícula de Grado;Todas las edades;Total Universidades;Total Centros;Mujeres;10.235
Matrícula de Grado;Todas las edades;Total Universidades;Total Centros;Hombres;8.883
Matrícula de Grado;Todas las edades;Total Universidades;Centros propios;Ambos Sexos;18.906
Matrícula de Grado;Todas las edades;Total Universidades;Centros propios;Mujeres;10.069
Matrícula de Grado;Todas las edades;Total Universidades;Centros propios;Hombres;8.837
Matrícula de Grado;Todas las edades;Total Universidades;Centros adscritos;Ambos Sexos;212
Matrícula de Grado;Todas las edades;Total Universidades;Centros adscritos;Mujeres;166
Matrícula de Grado;Todas las edades;Total Universidades;Centros adscritos;Hombres;..
Matrícula de Grado;Todas las edades;Universidades públicas;Total Centros;Ambos Sexos;9.538
Matrícula de Grado;Todas las edades;Universidades públicas;Total Centros;Mujeres;5.189
Matrícula de Grado;Todas las edades;Universidades públicas;Total Centros;Hombres;4.349
Matrícula de Grado;Todas las edades;Universidades públicas;Centros propios;Ambos Sexos;9.427
Matrícula de Grado;Todas las edades;Universidades públicas;Centros propios;Mujeres;5.100
Matrícula de Grado;Todas las edades;Universidades públicas;Centros propios;Hombres;4.327
Matrícula de Grado;Todas las edades;Universidades públicas;Centros adscritos;Ambos Sexos;111
Matrícula de Grado;Todas las edades;Universidades públicas;Centros adscritos;Mujeres;..
Matrícula de Grado;Todas las edades;Universidades públicas;Centros adscritos;Hombres;..
Matrícula de Grado;Todas las edades;Universidades privadas;Total Centros;Ambos Sexos;9.580
Matrícula de Grado;Todas las edades;Universidades privadas;Total Centros;Mujeres;5.046
Matrícula de Grado;Todas las edades;Universidades privadas;Total Centros;Hombres;4.534
Matrícula de Grado;Todas las edades;Universidades privadas;Centros propios;Ambos Sexos;9.479
Matrícula de Grado;Todas las edades;Universidades privadas;Centros propios;Mujeres;4.969
Matrícula de Grado;Todas las edades;Universidades privadas;Centros propios;Hombres;4.510
Matrícula de Grado;Todas las edades;Universidades privadas;Centros adscritos;Ambos Sexos;101
Matrícula de Grado;Todas las edades;Universidades privadas;Centros adscritos;Mujeres;..
Matrícula de Grado;Todas las edades;Universidades privadas;Centros adscritos;Hombres;..
Matrícula de Grado;De 18 a 21 años;Total Universidades;Total Centros;Ambos Sexos;12.438
Matrícula de Grado;De 18 a 21 años;Total Universidades;Total Centros;Mujeres;6.749
Matrícula de Grado;De 18 a 21 años;Total Universidades;Total Centros;Hombres;5.689
Matrícula de Grado;De 18 a 21 años;Total Universidades;Centros propios;Ambos Sexos;12.266
Matrícula de Grado;De 18 a 21 años;Total Universidades;Centros propios;Mujeres;6.613
Matrícula de Grado;De 18 a 21 años;Total Universidades;Centros propios;Hombres;5.653
Matrícula de Grado;De 18 a 21 años;Total Universidades;Centros adscritos;Ambos Sexos;172
Matrícula de Grado;De 18 a 21 años;Total Universidades;Centros adscritos;Mujeres;136
Matrícula de Grado;De 18 a 21 años;Total Universidades;Centros adscritos;Hombres;..
Matrícula de Grado;De 18 a 21 años;Universidades públicas;Total Centros;Ambos Sexos;7.828
Matrícula de Grado;De 18 a 21 años;Universidades públicas;Total Centros;Mujeres;4.377
Matrícula de Grado;De 18 a 21 años;Universidades públicas;Total Centros;Hombres;3.451
Matrícula de Grado;De 18 a 21 años;Universidades públicas;Centros propios;Ambos Sexos;7.744
Matrícula de Grado;De 18 a 21 años;Universidades públicas;Centros propios;Mujeres;4.310
Matrícula de Grado;De 18 a 21 años;Universidades públicas;Centros propios;Hombres;3.434
Matrícula de Grado;De 18 a 21 años;Universidades públicas;Centros adscritos;Ambos Sexos;..
Matrícula de Grado;De 18 a 21 años;Universidades públicas;Centros adscritos;Mujeres;..
Matrícula de Grado;De 18 a 21 años;Universidades públicas;Centros adscritos;Hombres;..
Matrícula de Grado;De 18 a 21 años;Universidades privadas;Total Centros;Ambos Sexos;4.610
Matrícula de Grado;De 18 a 21 años;Universidades privadas;Total Centros;Mujeres;2.372
Matrícula de Grado;De 18 a 21 años;Universidades privadas;Total Centros;Hombres;2.238
Matrícula de Grado;De 18 a 21 años;Universidades privadas;Centros propios;Ambos Sexos;4.522
Matrícula de Grado;De 18 a 21 años;Universidades privadas;Centros propios;Mujeres;2.303
Matrícula de Grado;De 18 a 21 años;Universidades privadas;Centros propios;Hombres;2.219
Matrícula de Grado;De 18 a 21 años;Universidades privadas;Centros adscritos;Ambos Sexos;..
Matrícula de Grado;De 18 a 21 años;Universidades privadas;Centros adscritos;Mujeres;..
Matrícula de Grado;De 18 a 21 años;Universidades privadas;Centros adscritos;Hombres;..
Matrícula de Grado;De 21 a 25 años;Total Universidades;Total Centros;Ambos Sexos;2.067
Matrícula de Grado;De 21 a 25 años;Total Universidades;Total Centros;Mujeres;1.057
Matrícula de Grado;De 21 a 25 años;Total Universidades;Total Centros;Hombres;1.010
Matrícula de Grado;De 21 a 25 años;Total Universidades;Centros propios;Ambos Sexos;2.046
Matrícula de Grado;De 21 a 25 años;Total Universidades;Centros propios;Mujeres;1.042
