Universidad;Ámbito de estudio ISCED 1999;Total
Alicante;723 - Enfermería y atención a enfermos;621
Alicante;724 - Estudios dentales;.
Alicante;725 - Tecnología de diagnóstico y tratamiento médico;351
Alicante;726 - Terapia y rehabilitación;319
Alicante;727 - Farmacia;.
Alicante;762 - Trabajo social y orientación;740
Alicante;8 - Servicios;1.131
Alicante;812 - Viajes, turismo y ocio;950
Alicante;813 - Deportes;181
Alicante;840 - Servicios de transporte;.
Alicante;861 - Protección de la propiedad y las personas;.
Almería;Total;11.400
Almería;1 - Educación;2.630
Almería;142 - Ciencias de la educación;270
Almería;143 - Formación de docentes de enseñanza infantil;688
Almería;144 - Formación de docentes de enseñanza primaria;417
Almería;145 - Formación de docentes de enseñanza de temas especiales;291
Almería;146 - Formación de docentes de formación profesional;964
Almería;2 - Artes y humanidades;482
Almería;210 - Artes;.
Almería;211 - Bellas artes;.
Almería;212 - Música y artes del espectáculo;.
Almería;213 - Técnicas audiovisuales y medios de comunicación;.
Almería;214 - Diseño;.
Almería;220 - Humanidades;138
Almería;222 - Lenguas extranjeras;221
Almería;223 - Lenguas y dialectos españoles;123
Almería;224 - Historia, filosofía y temas relacionados;.
Almería;225 - Historia y arqueología;.
Almería;226 - Filosofía y ética;.
Almería;3 - Ciencias sociales, educación comercial y derecho;4.935
Almería;310 - Ciencias sociales y del comportamiento;.
Almería;311 - Psicología;651
Almería;312 - Sociología, antropología y geografía social y cultural;.
Almería;313 - Ciencias políticas;.
Almería;314 - Economía;.
Almería;321 - Periodismo;.
Almería;322 - Biblioteconomía, documentación y archivos;.
Almería;342 - Marketing y publicidad;..
Almería;343 - Finanzas, banca y seguros;.
Almería;345 - Administración y gestión de empresas;3.097
Almería;347 - Otros estudios referidos al puesto de trabajo;.
Almería;380 - Derecho;1.120
Almería;4 - Ciencias;987
Almería;421 - Biología y Bioquímica;.
Almería;422 - Ciencias del medio ambiente;153
Almería;441 - Física;.
Almería;442 - Química;123
Almería;443 - Geología y meteorología;.
Almería;461 - Matemáticas;..
Almería;462 - Estadística;.
Almería;481 - Ciencias de la computación;617
Almería;482 - Informática en el nivel de usuario;.
Almería;5 - Ingeniería, industria y construcción;464
Almería;520 - Ingeniería y profesiones afines;.
Almería;521 - Mecánica y metalurgia;257
Almería;522 - Electricidad y energía;.
Almería;523 - Electrónica y automática;.
Almería;524 - Procesos químicos;137
Almería;525 - Vehículos de motor, barcos y aeronaves;.
Almería;541 - Industria de la alimentación;..
Almería;542 - Industria textil, confección, del calzado y piel;.
Almería;543 - Industrias de otros materiales (madera, papel, plástico, vidrio);.
Almería;544 - Minería y extracción;.
Almería;581 - Arquitectura y urbanismo;.
Almería;582 - Construcción e ingeniería civil;.
Almería;6 - Agricultura y veterinaria;729
Almería;620 - Agricultura, ganadería y pesca;.
Almería;621 - Producción agrícola y explotación ganadera;354
Almería;622 - Horticultura;375
Almería;623 - Silvicultura;.
Almería;641 - Veterinaria;.
Almería;7 - Salud y servicios sociales;680
Almería;721 - Medicina;.
Almería;723 - Enfermería y atención a enfermos;488
Almería;724 - Estudios dentales;.
Almería;725 - Tecnología de diagnóstico y tratamiento médico;.
Almería;726 - Terapia y rehabilitación;192
Almería;727 - Farmacia;.
Almería;762 - Trabajo social y orientación;.
Almería;8 - Servicios;493
Almería;812 - Viajes, turismo y ocio;493
Almería;813 - Deportes;.
Almería;840 - Servicios de transporte;.
Almería;861 - Protección de la propiedad y las personas;.
Autónoma de Barcelona;Total;33.550
Autónoma de Barcelona;1 - Educación;2.399
Autónoma de Barcelona;142 - Ciencias de la educación;772
Autónoma de Barcelona;143 - Formación de docentes de enseñanza infantil;587
Autónoma de Barcelona;144 - Formación de docentes de enseñanza primaria;677
