Nivel y Ciclo;Nacionalidad (regiones);Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Total Universidades;Centros adscritos;Ambos Sexos;229
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Total Universidades;Centros adscritos;Mujeres;124
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Total Universidades;Centros adscritos;Hombres;105
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades públicas;Total Centros;Ambos Sexos;4.841
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades públicas;Total Centros;Mujeres;2.767
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades públicas;Total Centros;Hombres;2.074
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades públicas;Centros propios;Ambos Sexos;4.633
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades públicas;Centros propios;Mujeres;2.656
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades públicas;Centros propios;Hombres;1.977
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades públicas;Centros adscritos;Ambos Sexos;208
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades públicas;Centros adscritos;Mujeres;111
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades públicas;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades privadas;Total Centros;Ambos Sexos;537
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades privadas;Total Centros;Mujeres;243
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades privadas;Total Centros;Hombres;294
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades privadas;Centros propios;Ambos Sexos;516
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades privadas;Centros propios;Mujeres;230
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades privadas;Centros propios;Hombres;286
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades privadas;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades privadas;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Universidades privadas;Centros adscritos;Hombres;.
Matrícula de Grado;TOTAL;Total Universidades;Total Centros;Ambos Sexos;1.250.822
Matrícula de Grado;TOTAL;Total Universidades;Total Centros;Mujeres;686.555
Matrícula de Grado;TOTAL;Total Universidades;Total Centros;Hombres;564.267
Matrícula de Grado;TOTAL;Total Universidades;Centros propios;Ambos Sexos;1.188.137
Matrícula de Grado;TOTAL;Total Universidades;Centros propios;Mujeres;650.627
Matrícula de Grado;TOTAL;Total Universidades;Centros propios;Hombres;537.510
Matrícula de Grado;TOTAL;Total Universidades;Centros adscritos;Ambos Sexos;62.685
Matrícula de Grado;TOTAL;Total Universidades;Centros adscritos;Mujeres;35.928
Matrícula de Grado;TOTAL;Total Universidades;Centros adscritos;Hombres;26.757
Matrícula de Grado;TOTAL;Universidades públicas;Total Centros;Ambos Sexos;1.085.482
Matrícula de Grado;TOTAL;Universidades públicas;Total Centros;Mujeres;594.298
Matrícula de Grado;TOTAL;Universidades públicas;Total Centros;Hombres;491.184
Matrícula de Grado;TOTAL;Universidades públicas;Centros propios;Ambos Sexos;1.028.481
Matrícula de Grado;TOTAL;Universidades públicas;Centros propios;Mujeres;561.525
Matrícula de Grado;TOTAL;Universidades públicas;Centros propios;Hombres;466.956
Matrícula de Grado;TOTAL;Universidades públicas;Centros adscritos;Ambos Sexos;57.001
Matrícula de Grado;TOTAL;Universidades públicas;Centros adscritos;Mujeres;32.773
Matrícula de Grado;TOTAL;Universidades públicas;Centros adscritos;Hombres;24.228
