Universidad;Ámbito de estudio ISCED 1999;Total
Católica de Valencia San Vicente Mártir;144 - Formación de docentes de enseñanza primaria;1.377
Católica de Valencia San Vicente Mártir;145 - Formación de docentes de enseñanza de temas especiales;125
Católica de Valencia San Vicente Mártir;146 - Formación de docentes de formación profesional;224
Católica de Valencia San Vicente Mártir;Total Artes y humanidades;..
Católica de Valencia San Vicente Mártir;211 - Bellas artes;.
Católica de Valencia San Vicente Mártir;212 - Música y artes del espectáculo;.
Católica de Valencia San Vicente Mártir;213 - Técnicas audiovisuales y medios de comunicación;..
Católica de Valencia San Vicente Mártir;214 - Diseño;.
Católica de Valencia San Vicente Mártir;220 - Humanidades;.
Católica de Valencia San Vicente Mártir;222 - Lenguas extranjeras;.
Católica de Valencia San Vicente Mártir;223 - Lenguas y dialectos españoles;.
Católica de Valencia San Vicente Mártir;225 - Historia y arqueología;.
Católica de Valencia San Vicente Mártir;226 - Filosofía y ética;..
Católica de Valencia San Vicente Mártir;Total Ciencias sociales, educación comercial y derecho;1.204
Católica de Valencia San Vicente Mártir;311 - Psicología;390
Católica de Valencia San Vicente Mártir;312 - Sociología, antropología y geografía social y cultural;.
Católica de Valencia San Vicente Mártir;313 - Ciencias políticas;.
