Universidad;Ámbito de estudio ISCED 1999;Total
Alicante;852 - Entornos naturales y vida salvaje;55
Alicante;861 - Protección de la propiedad y las personas;..
Almería;Total;11.424
Almería;1 - Educación;2.516
Almería;142 - Ciencias de la educación;227
Almería;143 - Formación de docentes de enseñanza infantil;756
Almería;144 - Formación de docentes de enseñanza primaria;607
Almería;145 - Formación de docentes de enseñanza de temas especiales;213
Almería;146 - Formación de docentes de formación profesional;713
Almería;2 - Artes y humanidades;609
Almería;210 - Artes;..
Almería;211 - Bellas artes;..
Almería;212 - Música y artes del espectáculo;..
Almería;213 - Técnicas audiovisuales y medios de comunicación;..
Almería;214 - Diseño;..
Almería;220 - Humanidades;133
Almería;222 - Lenguas extranjeras;250
Almería;223 - Lenguas y dialectos españoles;151
Almería;224 - Historia, filosofía y temas relacionados;..
Almería;225 - Historia y arqueología;75
Almería;226 - Filosofía y ética;..
Almería;3 - Ciencias sociales, educación comercial y derecho;4.945
Almería;310 - Ciencias sociales y del comportamiento;..
Almería;311 - Psicología;684
Almería;312 - Sociología, antropología y geografía social y cultural;..
Almería;313 - Ciencias políticas;..
Almería;314 - Economía;72
Almería;321 - Periodismo;..
Almería;322 - Biblioteconomía, documentación y archivos;..
Almería;341 - Ventas al por mayor y al por menor;..
Almería;342 - Marketing y publicidad;112
Almería;343 - Finanzas, banca y seguros;166
Almería;344 - Contabilidad y gestión de impuestos;..
Almería;345 - Administración y gestión de empresas;2.787
Almería;346 - Secretariado y trabajo administrativo;..
Almería;347 - Otros estudios referidos al puesto de trabajo;..
Almería;380 - Derecho;1.124
Almería;4 - Ciencias;935
Almería;421 - Biología y Bioquímica;..
Almería;422 - Ciencias del medio ambiente;164
Almería;440 - Ciencias Físicas, químicas, geológicas;..
Almería;441 - Física;..
Almería;442 - Química;134
Almería;443 - Geología y meteorología;..
Almería;461 - Matemáticas;117
Almería;462 - Estadística;..
Almería;481 - Ciencias de la computación;520
Almería;482 - Informática en el nivel de usuario;..
Almería;5 - Ingeniería, industria y construcción;550
Almería;520 - Ingeniería y profesiones afines;..
Almería;521 - Mecánica y metalurgia;282
Almería;522 - Electricidad y energía;..
Almería;523 - Electrónica y automática;71
Almería;524 - Procesos químicos;142
Almería;525 - Vehículos de motor, barcos y aeronaves;..
Almería;540 - Industria manufacturera y producción;..
Almería;541 - Industria de la alimentación;55
Almería;542 - Industria textil, confección, del calzado y piel;..
Almería;543 - Industrias de otros materiales (madera, papel, plástico, vidrio);..
Almería;544 - Minería y extracción;..
Almería;581 - Arquitectura y urbanismo;..
Almería;582 - Construcción e ingeniería civil;..
Almería;6 - Agricultura y veterinaria;639
Almería;620 - Agricultura, ganadería y pesca;..
Almería;621 - Producción agrícola y explotación ganadera;354
Almería;622 - Horticultura;285
Almería;623 - Silvicultura;..
Almería;641 - Veterinaria;..
Almería;7 - Salud y servicios sociales;834
Almería;721 - Medicina;..
Almería;723 - Enfermería y atención a enfermos;489
Almería;724 - Estudios dentales;..
Almería;725 - Tecnología de diagnóstico y tratamiento médico;..
Almería;726 - Terapia y rehabilitación;197
Almería;727 - Farmacia;..
Almería;762 - Trabajo social y orientación;148
Almería;8 - Servicios;396
Almería;812 - Viajes, turismo y ocio;396
Almería;813 - Deportes;..
Almería;840 - Servicios de transporte;..
Almería;851 - Control y tecnología medioambiental;..
Almería;852 - Entornos naturales y vida salvaje;..
Almería;861 - Protección de la propiedad y las personas;..
Autónoma de Barcelona;Total;34.864
Autónoma de Barcelona;1 - Educación;2.450
Autónoma de Barcelona;142 - Ciencias de la educación;773
Autónoma de Barcelona;143 - Formación de docentes de enseñanza infantil;659
Autónoma de Barcelona;144 - Formación de docentes de enseñanza primaria;802
Autónoma de Barcelona;145 - Formación de docentes de enseñanza de temas especiales;70
Autónoma de Barcelona;146 - Formación de docentes de formación profesional;146
Autónoma de Barcelona;2 - Artes y humanidades;4.976
Autónoma de Barcelona;210 - Artes;..
Autónoma de Barcelona;211 - Bellas artes;442
Autónoma de Barcelona;212 - Música y artes del espectáculo;181
