Comunidades Autónomas;Nacionalidad (regiones);Sexo;Total
Rioja (La);Unión Europea (27);Mujeres;35
Rioja (La);Unión Europea (27);Hombres;7
Rioja (La);Resto de Europa;Ambos Sexos;9
Rioja (La);Resto de Europa;Mujeres;8
Rioja (La);Resto de Europa;Hombres;1
Rioja (La);América del Norte;Ambos Sexos;1
Rioja (La);América del Norte;Mujeres;1
Rioja (La);América del Norte;Hombres;..
Rioja (La);América Central;Ambos Sexos;2
Rioja (La);América Central;Mujeres;2
Rioja (La);América Central;Hombres;..
Rioja (La);América del Sur;Ambos Sexos;42
Rioja (La);América del Sur;Mujeres;30
Rioja (La);América del Sur;Hombres;12
Rioja (La);Norte de África;Ambos Sexos;11
Rioja (La);Norte de África;Mujeres;8
Rioja (La);Norte de África;Hombres;3
Rioja (La);Resto de África;Ambos Sexos;5
Rioja (La);Resto de África;Mujeres;2
Rioja (La);Resto de África;Hombres;3
Rioja (La);Asia y Oceanía;Ambos Sexos;31
Rioja (La);Asia y Oceanía;Mujeres;21
Rioja (La);Asia y Oceanía;Hombres;10
Total Universidades No Presenciales;TOTAL;Ambos Sexos;198.005
Total Universidades No Presenciales;TOTAL;Mujeres;109.882
Total Universidades No Presenciales;TOTAL;Hombres;88.123
Total Universidades No Presenciales;España;Ambos Sexos;192.611
Total Universidades No Presenciales;España;Mujeres;106.181
Total Universidades No Presenciales;España;Hombres;86.430
Total Universidades No Presenciales;Unión Europea (27);Ambos Sexos;2.295
Total Universidades No Presenciales;Unión Europea (27);Mujeres;1.666
Total Universidades No Presenciales;Unión Europea (27);Hombres;629
Total Universidades No Presenciales;Resto de Europa;Ambos Sexos;622
Total Universidades No Presenciales;Resto de Europa;Mujeres;471
Total Universidades No Presenciales;Resto de Europa;Hombres;151
