Sexo;Universidad;Ámbito de estudio ISCED 1999;Total
Ambos Sexos;A Coruña;442 - Química;275
Ambos Sexos;A Coruña;443 - Geología y meteorología;.
Ambos Sexos;A Coruña;461 - Matemáticas;.
Ambos Sexos;A Coruña;462 - Estadística;.
Ambos Sexos;A Coruña;481 - Ciencias de la computación;1.477
Ambos Sexos;A Coruña;Total Ingeniería, industria y construcción;5.620
Ambos Sexos;A Coruña;520 - Ingeniería y profesiones afines;..
Ambos Sexos;A Coruña;521 - Mecánica y metalurgia;671
Ambos Sexos;A Coruña;522 - Electricidad y energía;264
Ambos Sexos;A Coruña;523 - Electrónica y automática;301
Ambos Sexos;A Coruña;524 - Procesos químicos;.
Ambos Sexos;A Coruña;525 - Vehículos de motor, barcos y aeronaves;833
Ambos Sexos;A Coruña;541 - Industria de la alimentación;.
Ambos Sexos;A Coruña;542 - Industria textil, confección, del calzado y piel;.
Ambos Sexos;A Coruña;543 - Industrias de otros materiales (madera, papel, plástico, vidrio);.
Ambos Sexos;A Coruña;544 - Minería y extracción;.
Ambos Sexos;A Coruña;581 - Arquitectura y urbanismo;2.442
Ambos Sexos;A Coruña;582 - Construcción e ingeniería civil;1.032
Ambos Sexos;A Coruña;Total Agricultura y veterinaria;.
Ambos Sexos;A Coruña;620 - Agricultura, ganadería y pesca;.
Ambos Sexos;A Coruña;621 - Producción agrícola y explotación ganadera;.
Ambos Sexos;A Coruña;622 - Horticultura;.
Ambos Sexos;A Coruña;623 - Silvicultura;.
Ambos Sexos;A Coruña;641 - Veterinaria;.
Ambos Sexos;A Coruña;Total Salud y servicios sociales;1.411
Ambos Sexos;A Coruña;720 - Salud;.
Ambos Sexos;A Coruña;721 - Medicina;.
Ambos Sexos;A Coruña;723 - Enfermería y atención a enfermos;523
Ambos Sexos;A Coruña;724 - Estudios dentales;.
Ambos Sexos;A Coruña;725 - Tecnología de diagnóstico y tratamiento médico;.
Ambos Sexos;A Coruña;726 - Terapia y rehabilitación;888
Ambos Sexos;A Coruña;727 - Farmacia;.
Ambos Sexos;A Coruña;762 - Trabajo social y orientación;.
Ambos Sexos;A Coruña;Total Servicios;1.065
Ambos Sexos;A Coruña;811 - Hostelería;.
Ambos Sexos;A Coruña;812 - Viajes, turismo y ocio;214
Ambos Sexos;A Coruña;813 - Deportes;822
Ambos Sexos;A Coruña;840 - Servicios de transporte;..
Ambos Sexos;A Coruña;851 - Control y tecnología medioambiental;.
Ambos Sexos;A Coruña;861 - Protección de la propiedad y las personas;.
Ambos Sexos;A Coruña;862 - Salud y seguridad en el trabajo;.
Ambos Sexos;A Coruña;863 - Enseñanza militar;.
Ambos Sexos;Alcalá;Total Ámbito;15.322
Ambos Sexos;Alcalá;Total Educación;2.071
Ambos Sexos;Alcalá;140 - Formación de personal docente y ciencias de la educación;..
Ambos Sexos;Alcalá;142 - Ciencias de la educación;.
Ambos Sexos;Alcalá;143 - Formación de docentes de enseñanza infantil;940
Ambos Sexos;Alcalá;144 - Formación de docentes de enseñanza primaria;1.049
Ambos Sexos;Alcalá;145 - Formación de docentes de enseñanza de temas especiales;.
Ambos Sexos;Alcalá;146 - Formación de docentes de formación profesional;.
Ambos Sexos;Alcalá;Total Artes y humanidades;1.290
Ambos Sexos;Alcalá;211 - Bellas artes;.
Ambos Sexos;Alcalá;212 - Música y artes del espectáculo;.
Ambos Sexos;Alcalá;213 - Técnicas audiovisuales y medios de comunicación;197
Ambos Sexos;Alcalá;214 - Diseño;.
Ambos Sexos;Alcalá;220 - Humanidades;126
Ambos Sexos;Alcalá;222 - Lenguas extranjeras;624
Ambos Sexos;Alcalá;223 - Lenguas y dialectos españoles;135
Ambos Sexos;Alcalá;225 - Historia y arqueología;208
Ambos Sexos;Alcalá;226 - Filosofía y ética;.
Ambos Sexos;Alcalá;Total Ciencias sociales, educación comercial y derecho;3.027
Ambos Sexos;Alcalá;311 - Psicología;..
Ambos Sexos;Alcalá;312 - Sociología, antropología y geografía social y cultural;.
Ambos Sexos;Alcalá;313 - Ciencias políticas;.
