Tipo de universidad;Comunidad Autónoma;Nacionalidad (regiones);Sexo;Total
Total Universidades;Madrid (Comunidad de);Resto de Europa;Mujeres;472
Total Universidades;Madrid (Comunidad de);Resto de Europa;Hombres;228
Total Universidades;Madrid (Comunidad de);EE.UU. y Canadá;Ambos sexos;83
Total Universidades;Madrid (Comunidad de);EE.UU. y Canadá;Mujeres;46
Total Universidades;Madrid (Comunidad de);EE.UU. y Canadá;Hombres;37
Total Universidades;Madrid (Comunidad de);América Latina y Caribe;Ambos sexos;2.627
Total Universidades;Madrid (Comunidad de);América Latina y Caribe;Mujeres;1.470
Total Universidades;Madrid (Comunidad de);América Latina y Caribe;Hombres;1.157
Total Universidades;Madrid (Comunidad de);Norte de África;Ambos sexos;556
Total Universidades;Madrid (Comunidad de);Norte de África;Mujeres;298
Total Universidades;Madrid (Comunidad de);Norte de África;Hombres;258
Total Universidades;Madrid (Comunidad de);Resto de África;Ambos sexos;265
Total Universidades;Madrid (Comunidad de);Resto de África;Mujeres;143
Total Universidades;Madrid (Comunidad de);Resto de África;Hombres;122
Total Universidades;Madrid (Comunidad de);Asia y Oceanía;Ambos sexos;2.526
Total Universidades;Madrid (Comunidad de);Asia y Oceanía;Mujeres;1.468
Total Universidades;Madrid (Comunidad de);Asia y Oceanía;Hombres;1.058
Total Universidades;Murcia (Región de);Total;Ambos sexos;43.055
Total Universidades;Murcia (Región de);Total;Mujeres;23.674
Total Universidades;Murcia (Región de);Total;Hombres;19.381
Total Universidades;Murcia (Región de);España;Ambos sexos;41.794
Total Universidades;Murcia (Región de);España;Mujeres;22.938
Total Universidades;Murcia (Región de);España;Hombres;18.856
Total Universidades;Murcia (Región de);Unión Europea (28);Ambos sexos;415
Total Universidades;Murcia (Región de);Unión Europea (28);Mujeres;246
Total Universidades;Murcia (Región de);Unión Europea (28);Hombres;169
Total Universidades;Murcia (Región de);Resto de Europa;Ambos sexos;177
Total Universidades;Murcia (Región de);Resto de Europa;Mujeres;108
Total Universidades;Murcia (Región de);Resto de Europa;Hombres;69
Total Universidades;Murcia (Región de);EE.UU. y Canadá;Ambos sexos;6
Total Universidades;Murcia (Región de);EE.UU. y Canadá;Mujeres;5
Total Universidades;Murcia (Región de);EE.UU. y Canadá;Hombres;1
Total Universidades;Murcia (Región de);América Latina y Caribe;Ambos sexos;422
Total Universidades;Murcia (Región de);América Latina y Caribe;Mujeres;255
Total Universidades;Murcia (Región de);América Latina y Caribe;Hombres;167
Total Universidades;Murcia (Región de);Norte de África;Ambos sexos;184
